Datum,Tijd,Product,ISIN,Beurs,Uitvoeringsplaats,Aantal,Koers,,Lokale waarde,,Waarde EUR,Wisselkoers,AutoFX Kosten,Transactiekosten en/of kosten van derden EUR,Totaal EUR,Order ID,
06-07-2026,16:51,KRAFT HEINZ CO,US5007541064,NDQ,ARCX,8,"24,5000",USD,"-196,00",USD,"-171,74","1,1413","-0,43","-2,00","-174,16",,96f5908a-6519-4757-b822-360a1b3cb82d
06-07-2026,15:44,TESLA INC,US88160R1014,NDQ,BATS,1,"398,0000",USD,"-398,00",USD,"-348,61","1,1417","-0,87","-2,00","-351,48",,4474dbb9-1e80-443f-9bc3-8ba4741fee32
02-07-2026,19:42,VELO3D INC,US92259N3026,NDQ,EDGX,-10,"15,5000",USD,"155,00",USD,"135,61","1,1430","-0,34","-2,00","133,27",,23bd6874-77b6-4312-8d07-d99861ba118e
30-06-2026,15:33,VELO3D INC,US92259N3026,NDQ,XNYS,10,"19,2200",USD,"-192,20",USD,"-168,60","1,1400","-0,42","-2,00","-171,02",,0db8d2a1-545e-472c-b503-d492d32767ff
24-06-2026,12:01,VANECK MS DEVELOPED MARKETS DIV LEAD UCITS ETF,NL0011683594,EAM,XAMS,4,"52,0800",EUR,"-208,32",EUR,"-208,32",,"0,00","-3,00","-211,32",,89d6f0e6-59b3-4d82-b1ba-a2adb53d4d06
23-06-2026,21:10,TESLA INC,US88160R1014,NDQ,SOHO,1,"380,5300",USD,"-380,53",USD,"-334,33","1,1382","-0,84","-2,00","-337,16",,7dd2a7c8-113d-4c16-8d4b-2ddcb4e590d4
12-06-2026,13:03,SPACE EXPLORATION TECHNOLOGIES CORP CLASS A,US84615Q1031,NDQ,,1,"135,0000",USD,"-135,00",USD,"-116,48","1,1590","0,00",,"-116,48",,
12-06-2026,13:03,SPACEX - IPO SUBSCRIPTION - NON TRADEABLE,US0IPOSPACEX,DEG,,-1,"116,6607",EUR,"116,66",EUR,"116,66",,"0,00",,"116,66",,
12-06-2026,00:00,SPACEX - IPO SUBSCRIPTION - NON TRADEABLE,US0IPOSPACEX,DEG,,1,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",,
11-06-2026,15:36,TESLA INC,US88160R1014,NDQ,MSRP,1,"381,1750",USD,"-381,18",USD,"-330,57","1,1531","-0,83","-2,00","-333,39",,b0e9fa85-de55-4810-b5d6-3fe7b0932d3c
09-06-2026,17:29,PALANTIR TECHNOLOGIES INC CLASS A,US69608A1088,NDQ,XNAS,2,"131,0000",USD,"-262,00",USD,"-226,68","1,1558","-0,57","-2,00","-229,25",,0f9f9986-53df-4775-9dd6-cf71b70c0a3a
05-06-2026,21:16,SOLANA,,TRD,TRDS,,"53,4990",EUR,"-514,41",EUR,"-514,41",,"0,00","-1,49","-515,90",,714999ce-d02d-46df-83bc-9919fbe2b862
05-06-2026,19:40,TESLA INC,US88160R1014,NDQ,JNST,1,"396,9382",USD,"-396,94",USD,"-344,39","1,1526","-0,86","-2,00","-347,25",,5d6ec2ca-96f6-45ab-8a61-92eb132ddeec
04-06-2026,21:56,EIGHTCO HOLDINGS INC (PRE-REINCORPORATION),US22890A3023,NDQ,ARCX,128,"0,9800",USD,"-125,44",USD,"-108,03","1,1612","-0,27",,"-108,30",ab8c8450-a57d-475c-925b-de761faa4e85
04-06-2026,21:56,EIGHTCO HOLDINGS INC (PRE-REINCORPORATION),US22890A3023,NDQ,ARCX,172,"0,9800",USD,"-168,56",USD,"-145,16","1,1612","-0,36","-2,00","-147,52",ab8c8450-a57d-475c-925b-de761faa4e85
02-06-2026,21:32,INFLEQTION INC,US45676K1034,NSY,XNYS,-7,"19,9000",USD,"139,30",USD,"119,76","1,1632","-0,30","-2,00","117,46",04698ac6-1e2f-47c9-84c9-66d06e5e6c0f
02-06-2026,18:19,AMERICAS GOLD AND SILVER CORPORATION,CA03062D8035,ASE,BATS,100,"6,4200",USD,"-642,00",USD,"-551,74","1,1636","-1,38","-2,00","-555,12",5479ad4a-5dd2-4964-bdd0-c5542380a4f5
02-06-2026,15:50,VANECK SEMICONDUCTOR UCITS ETF USD A,IE00BMC38736,LSE,XLON,-4,"115,0000",USD,"460,00",USD,"395,12","1,1642","-0,99","-3,00","391,14",8fa5c135-6eaf-42ea-b215-3caba6167cba
27-05-2026,17:11,AST SPACEMOBILE INC CLASS A,US00217D1000,NDQ,ARCX,-2,"127,5000",USD,"255,00",USD,"219,22","1,1632","-0,55","-2,00","216,68",b89da47e-156d-4869-aecb-6a6e1704fdd6
22-05-2026,10:19,VANECK MS DEVELOPED MARKETS DIV LEAD UCITS ETF,NL0011683594,EAM,XAMS,4,"53,4500",EUR,"-213,80",EUR,"-213,80",,"0,00","-3,00","-216,80",2463aa40-8438-4f2e-ad77-a47981742774
21-05-2026,19:35,INFLEQTION INC,US45676K1034,NSY,CDED,20,"14,8400",USD,"-296,80",USD,"-255,45","1,1619","-0,64","-2,00","-258,08",26db1e0e-033e-45ef-b119-14f7d90fe931
12-05-2026,19:19,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,ARCX,15,"25,1600",USD,"-377,40",USD,"-321,69","1,1732","-0,80","-2,00","-324,49",efd94fec-c3df-4f1d-9912-45af0ef2194c
11-05-2026,16:52,FLUENCE ENERGY INC CLASS A,US34379V1035,NDQ,XNAS,-20,"25,5000",USD,"510,00",USD,"432,87","1,1782","-1,08","-2,00","429,78",e669b504-157e-4185-bf5a-512bb813a263
06-05-2026,16:33,VANECK SEMICONDUCTOR UCITS ETF USD A,IE00BMC38736,LSE,BATE,-6,"97,0100",USD,"582,06",USD,"495,20","1,1754","-1,24","-3,00","490,97",6475f37b-48da-4bca-b58d-38162ef06e1a
24-04-2026,14:45,ADYEN NV,NL0012969182,EAM,XAMS,1,"1008,8000",EUR,"-1008,80",EUR,"-1008,80",,"0,00","-3,00","-1011,80",7ee47eb9-db8a-49a3-9887-5cabde017fbd
