ticker,prijs_nu,groei_pct,relatieve_sterkte,rendement_1m_pct,rendement_3m_pct
BAS.DE,53.34,5298.9,6.51,4.28,7.76
OXY,61.46,964.9,17.06,5.8,9.2
ASRNL.AS,72.66,647.8,10.05,4.86,13.26
LYB,63.69,396.0,5.04,0.92,-0.36
CBK.DE,42.12,325.4,7.44,5.99,14.36
CVX,214.06,321.9,22.28,7.96,15.33
ADM,86.72,315.6,14.12,8.48,8.76
DELL,567.29,272.9,36.68,15.58,43.65
SHELL.AS,41.23,220.0,18.68,5.8,11.62
RWE.DE,60.18,137.4,6.89,2.17,4.73
CRM,247.72,118.9,61.12,26.25,49.33
EOG,147.36,109.4,12.13,3.33,8.64
COP,137.35,107.0,26.25,9.06,18.2
TTE.PA,78.38,106.0,14.53,3.43,3.9
CF,133.07,99.6,27.86,12.49,22.17
BG,122.41,88.3,7.33,8.35,-3.14
DVN,50.23,64.2,17.17,9.55,11.65
HOOD,112.57,47.6,2.0,17.8,20.8
TPL,369.1,32.7,2.02,3.12,-2.43
AAPL,332.27,28.7,9.51,8.61,14.23
FCX,71.07,28.1,1.65,6.89,4.14
META,648.03,28.0,10.18,9.86,14.4
HUM,409.8,27.1,11.81,5.33,8.32
APA,44.73,26.3,34.29,10.53,21.68
TRGP,290.25,23.3,10.69,5.24,6.97
MBG.DE,46.85,20.0,1.16,1.8,-2.42
