ticker,prijs_nu,roic_pct,roic_trend,fair_value,afwijking_fair_value_pct,volatiliteit_pct
LVS,46.23,17.1,stijgend,59.07,-21.7,26.5
CPRT,31.61,19.5,stijgend,40.3,-21.6,28.0
IDXX,550.96,42.5,stijgend,698.92,-21.2,25.2
JKHY,153.31,21.0,stijgend,186.67,-17.9,29.8
BVI.PA,27.36,20.5,stijgend,32.44,-15.0,26.9
MA,569.29,90.5,stijgend,665.26,-14.4,20.3
TJX,152.11,30.9,stijgend,177.4,-14.3,22.2
MCO,484.96,28.8,stijgend,560.48,-13.5,29.9
UNA.AS,54.17,19.4,stijgend,62.23,-13.4,24.5
CAH,235.17,93.0,onbekend,270.6,-13.1,27.8
V,364.15,43.4,stijgend,416.2,-12.5,20.1
MCK,869.0,196.2,onbekend,991.4,-12.3,26.8
HAS,96.7,26.0,stijgend,109.29,-11.5,26.7
AOS,62.17,29.1,stijgend,69.91,-11.1,26.3
COST,961.1,33.6,stijgend,1077.31,-10.8,18.0
VRTX,505.75,21.9,stijgend,563.12,-10.2,28.1
