ticker,flip_date,weken_geleden,voorgaande_trend_weken,prijs_bij_omslag,prijs_nu,sinds_omslag_pct,boven_ema20,benchmark,relatieve_sterkte,volume_bevestigd,roic_pct,roic_trend,earnings_surprise_pct,earnings_beat,earnings_date,weken_sinds_earnings,fair_value,afwijking_fair_value_pct,score
BAYN.DE,2026-06-28,2,16,47.0,50.7,7.87,True,^GDAXI,22.03,True,8.3,stijgend,20.6,True,2026-05-11,8.0,53.69,-5.6,7.46
QIA.DE,2026-07-12,0,17,36.67,36.67,0.0,True,^GDAXI,3.13,True,8.2,stijgend,-0.6,False,2026-02-04,22.0,39.87,-8.0,7.24
ABBV,2026-06-28,2,9,253.35,249.91,-1.36,True,^GSPC,14.07,True,25.5,stijgend,-0.8,False,2026-04-29,10.0,258.32,-3.3,6.49
AXON,2026-07-05,1,34,597.04,582.0,-2.52,True,^GSPC,38.61,True,-1.2,dalend,0.8,True,2026-05-06,9.0,670.37,-13.2,6.44
BN.PA,2026-06-28,2,22,72.12,72.42,0.42,True,^FCHI,11.16,True,9.5,stijgend,-60.8,False,2019-10-18,350.0,80.5,-10.0,6.35
CCEP,2026-07-05,1,15,106.61,105.09,-1.43,True,^GSPC,1.64,True,11.9,stijgend,-69.3,False,2020-08-06,309.0,106.1,-1.0,6.28
IFF,2026-07-05,1,15,83.83,78.53,-6.32,True,^GSPC,-1.82,True,3.1,stijgend,16.5,True,2026-05-05,9.0,91.21,-13.9,6.2
V,2026-06-28,2,64,336.23,348.2,3.56,True,^GSPC,4.2,True,43.4,stijgend,6.8,True,2026-04-28,10.0,401.16,-13.2,6.2
LII,2026-07-05,1,14,570.03,537.5,-5.71,True,^GSPC,4.75,True,27.2,dalend,5.3,True,2026-04-29,10.0,571.0,-5.9,6.15
TECH,2026-06-28,2,16,71.0,71.15,0.21,True,^GSPC,14.49,True,8.3,stijgend,-0.8,False,2026-05-06,9.0,69.08,3.0,6.08
RVTY,2026-06-28,2,16,113.02,112.95,-0.06,True,^GSPC,14.35,True,2.7,stijgend,4.5,True,2026-05-05,9.0,114.73,-1.6,6.04
UAL,2026-06-28,2,16,136.11,129.05,-5.19,True,^GSPC,20.91,True,9.2,dalend,10.0,True,2026-04-21,11.0,151.09,-14.6,6.04
SCHW,2026-07-12,0,12,101.91,101.91,0.0,True,^GSPC,4.97,False,,onbekend,2.5,True,2026-04-16,12.0,116.68,-12.7,5.98
CAH,2026-06-28,2,8,237.4,233.77,-1.53,True,^GSPC,3.62,True,93.0,onbekend,13.7,True,2026-04-30,10.0,248.27,-5.8,5.92
LUV,2026-06-28,2,16,51.91,49.22,-5.18,True,^GSPC,9.91,True,3.0,stijgend,-5.0,False,2026-04-22,11.0,51.88,-5.1,5.89
RJF,2026-07-12,0,33,168.72,168.72,0.0,True,^GSPC,5.72,False,,onbekend,0.5,True,2026-04-22,11.0,177.17,-4.8,5.77
WFC,2026-07-12,0,19,86.91,86.91,0.0,True,^GSPC,1.51,False,,onbekend,-2.7,False,2026-04-14,12.0,97.75,-11.1,5.71
MTX.DE,2026-07-05,1,16,378.6,362.0,-4.38,True,^GDAXI,4.11,False,18.9,stijgend,0.6,True,2026-04-29,10.0,386.1,-6.2,5.71
GD,2026-07-05,1,10,373.54,374.6,0.28,True,^GSPC,6.02,False,12.1,stijgend,11.1,True,2026-04-29,10.0,393.79,-4.9,5.69
SW,2026-06-28,2,15,46.98,42.99,-8.49,True,^GSPC,-2.92,True,5.3,stijgend,-17.4,False,2026-04-30,10.0,53.61,-19.8,5.65
NDSN,2026-06-28,2,13,301.47,286.37,-5.01,True,^GSPC,-3.98,True,10.8,stijgend,1.5,True,2026-05-20,7.0,319.12,-10.3,5.57
SAF.PA,2026-06-28,2,14,332.7,340.0,2.19,True,^FCHI,10.21,True,25.7,dalend,,,,,346.52,-1.9,5.56
GPC,2026-07-05,1,19,132.57,124.27,-6.26,True,^GSPC,3.35,True,8.7,dalend,1.3,True,2026-04-21,11.0,134.62,-7.7,5.51
CL,2026-07-05,1,15,95.13,91.01,-4.33,True,^GSPC,0.86,False,43.4,stijgend,2.7,True,2026-05-01,9.0,95.85,-5.0,5.47
PAYX,2026-07-05,1,48,106.35,106.26,-0.08,True,^GSPC,11.18,False,,onbekend,0.9,True,2026-06-24,2.0,106.57,-0.3,5.28
VMC,2026-06-28,2,16,311.35,288.73,-7.27,False,^GSPC,-6.68,True,8.9,stijgend,,,,,326.5,-11.6,5.27
PGR,2026-06-28,2,50,224.24,229.52,2.35,True,^GSPC,7.49,True,,onbekend,1.6,True,2026-04-15,12.0,231.29,-0.8,5.24
HEN3.DE,2026-06-28,2,16,73.8,74.12,0.43,True,^GDAXI,12.91,False,9.6,stijgend,-29.9,False,2022-08-14,203.0,76.23,-2.8,5.22
KMB,2026-06-28,2,12,109.37,109.93,0.51,True,^GSPC,5.36,True,21.7,dalend,2.2,True,2026-04-28,10.0,114.8,-4.2,5.2
