ticker,flip_date,dagen_geleden,voorgaande_trend_dagen,prijs_bij_omslag,prijs_nu,sinds_omslag_pct,boven_ema,benchmark,relatieve_sterkte,volume_bevestigd,roic_pct,roic_trend,earnings_surprise_pct,earnings_beat,earnings_date,dagen_sinds_earnings,fair_value,afwijking_fair_value_pct,score
ANET,2026-07-08,1,18,181.05,184.69,2.01,True,^GSPC,11.94,True,27.8,dalend,7.7,True,2026-05-05,65,190.09,-2.8,6.52
NOW,2026-07-07,2,18,110.73,108.84,-1.71,True,^GSPC,12.66,False,11.8,stijgend,0.4,True,2026-04-22,78,140.73,-22.7,5.94
NSC,2026-07-09,0,27,323.77,323.77,0.0,True,^GSPC,-0.27,False,10.9,dalend,6.3,True,2026-04-24,76,337.28,-4.0,4.98
CF,2026-07-07,2,54,114.94,114.02,-0.8,True,^GSPC,-15.46,True,27.4,stijgend,8.7,True,2026-05-06,64,125.72,-9.3,4.84
SHELL.AS,2026-07-08,1,57,36.15,35.69,-1.29,False,^AEX,-12.56,True,9.4,dalend,3.6,True,2026-05-07,64,42.51,-16.1,4.81
NDAQ,2026-07-07,2,22,86.43,87.52,1.26,True,^GSPC,-7.59,False,8.7,stijgend,2.8,True,2026-04-23,77,106.87,-18.1,4.42
PM,2026-07-07,2,24,187.79,181.17,-3.53,True,^GSPC,2.69,False,33.0,dalend,7.1,True,2026-04-22,78,194.86,-7.0,4.4
ICE,2026-07-07,2,44,136.45,135.11,-0.98,False,^GSPC,-27.01,False,7.8,stijgend,3.9,True,2026-04-30,70,186.87,-27.7,3.93
FIS,2026-07-07,2,118,42.6,41.61,-2.32,False,^GSPC,-18.9,True,5.0,dalend,5.7,True,2026-05-08,62,56.86,-26.8,3.88
GRMN,2026-07-07,2,47,248.68,244.51,-1.68,True,^GSPC,-15.65,False,20.5,stijgend,13.1,True,2026-04-29,71,262.43,-6.8,3.75
GILD,2026-07-07,2,73,136.36,134.84,-1.11,True,^GSPC,-11.92,False,21.9,dalend,6.2,True,2026-05-07,63,158.3,-14.8,3.48
AD.AS,2026-07-07,2,46,36.33,35.77,-1.54,False,^AEX,-18.37,False,8.0,stijgend,1.5,True,2026-05-06,65,39.31,-9.0,3.42
ATO,2026-07-07,2,40,177.58,174.72,-1.61,False,^GSPC,-15.96,False,5.2,stijgend,1.8,True,2026-05-06,64,187.18,-6.7,3.4
