ticker,change_pct
EDEN.PA,4.92
RAND.AS,4.55
LYB,4.53
DOW,4.53
INTU,4.14
VLO,4.08
MPC,3.99
TEP.PA,3.88
DECK,3.84
MOS,3.77
CTSH,3.69
TPL,3.67
PSX,3.4
DG,3.27
WDAY,3.23
DPZ,3.12
APA,3.05
IT,2.98
DVN,2.94
FDS,2.83
STZ,2.78
XOM,2.76
FISV,2.74
OXY,2.73
FANG,2.7
CMG,2.67
TTD,2.56
NOW,2.51
COP,2.51
EOG,2.51
TAP,2.49
DTE.DE,2.49
ULTA,2.44
ACN,2.39
NFLX,2.39
CSGP,2.36
CF,2.36
NUE,2.35
STLD,2.3
CVX,2.29
UBER,2.29
TYL,2.25
DB1.DE,2.25
BNR.DE,2.24
GPN,2.24
ORA.PA,2.24
SHL.DE,2.23
MDLZ,2.21
HAL,2.2
AKZA.AS,2.2
VRSK,2.18
GDDY,2.14
HUM,2.13
CRM,2.12
BAS.DE,2.11
FAST,2.06
BG,2.05
PYPL,2.04
CI,1.99
TTE.PA,1.97
OKE,1.89
BRO,1.89
FIS,1.88
ICE,1.87
PAYX,1.86
KEYS,1.86
EFX,1.84
STLAP.PA,1.84
MRSH,1.83
ORLY,1.8
IBM,1.8
WTW,1.8
AXP,1.77
GIS,1.76
CMCSA,1.74
MKC,1.7
TRGP,1.69
ADBE,1.68
KPN.AS,1.67
TMUS,1.67
ITW,1.66
BF-B,1.64
EL,1.64
RHM.DE,1.61
COF,1.61
CNC,1.59
EG,1.58
SJM,1.57
AJG,1.56
FICO,1.56
ZBH,1.55
RCL,1.54
XYZ,1.54
CVS,1.53
V,1.51
CTAS,1.5
CHD,1.5
MA,1.49
PTC,1.49
IP,1.48
SLB,1.47
CTVA,1.46
LULU,1.46
FOXA,1.44
TRMB,1.43
EXPE,1.43
BKR,1.42
RSG,1.42
ADSK,1.41
WM,1.41
AZO,1.4
AIG,1.4
DIS,1.4
GPC,1.39
F,1.39
UHS,1.39
T,1.37
ELV,1.37
EXPD,1.36
AIZ,1.36
ADP,1.35
ERIE,1.35
SYF,1.35
SOLV,1.34
ALGN,1.33
OMC,1.33
COR,1.33
AMP,1.32
CB,1.32
L,1.32
CPAY,1.31
AAPL,1.3
CINF,1.3
BEI.DE,1.29
SBUX,1.29
DLTR,1.28
MCK,1.26
EVRG,1.25
SPGI,1.25
AXON,1.25
FOX,1.25
ACGL,1.25
WRB,1.24
SNPS,1.23
PCAR,1.23
PFG,1.23
SHELL.AS,1.22
LDOS,1.21
BR,1.2
PNR,1.2
CASY,1.19
BBY,1.18
EQR,1.18
MCO,1.18
ROP,1.17
IR,1.17
VEEV,1.17
APTV,1.17
KMB,1.17
UDR,1.16
MSCI,1.16
CAP.PA,1.15
WST,1.15
KHC,1.15
PKG,1.15
VLTO,1.11
MUV2.DE,1.11
VOW3.DE,1.1
AON,1.09
VZ,1.09
JBHT,1.09
GEN,1.08
VICI,1.08
ALB,1.08
MSI,1.06
ES,1.06
VIE.PA,1.05
DTG.DE,1.05
CVNA,1.05
GRMN,1.04
WEC,1.04
WELL,1.04
DHI,1.04
CDNS,1.03
ADM,1.03
ODFL,1.03
GWW,1.03
AVB,1.03
PCG,1.03
ALL,1.03
NWSA,1.02
DUK,1.01
FME.DE,1.0
CL,0.99
AWK,0.99
CNP,0.99
FDXF,0.99
ED,0.99
KVUE,0.98
CHTR,0.98
PNW,0.98
PFE,0.97
EIX,0.97
FTV,0.97
MGM,0.97
LNT,0.97
MET,0.96
ANET,0.96
O,0.96
MSFT,0.96
WKL.AS,0.96
CBRE,0.96
PRU,0.95
INVH,0.95
TKO,0.94
EXC,0.94
WY,0.94
NWS,0.94
LYV,0.94
ROL,0.93
COO,0.93
LEN,0.93
TJX,0.93
JKHY,0.93
SO,0.92
TSCO,0.92
ROST,0.92
CME,0.92
ACA.PA,0.91
TTWO,0.9
MMM,0.9
PHM,0.89
SAN.PA,0.89
WMT,0.89
AFL,0.89
DASH,0.88
BLDR,0.88
HNR1.DE,0.88
TGT,0.88
IMCD.AS,0.87
CMS,0.86
MAA,0.86
SYK,0.85
OTIS,0.85
SRE,0.84
UPS,0.84
HPQ,0.83
ZAL.DE,0.82
DHL.DE,0.82
XYL,0.82
LVS,0.82
TSN,0.81
